experiment,config,weights,top_k_dense,top_k_bm25,question_id,category,question_type,expected_source_ids,retrieved_ids,recall@1,recall@3,recall@5,context_precision@5,mrr,ndcg@5
parameter_sensitivity,dense_heavy,"{""dense"": 0.7, ""bm25"": 0.3}",20,20,bdreg_q01_application_docs_progress,multi_intent,scenario,"birth_registration_application_process_cleaned_002_01,birth_registration_application_process_cleaned_016_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_020_01","birth_registration_application_process_cleaned_002_01,birth_registration_application_process_02_cleaned_010_01,birth_registration_application_process_cleaned_015_01,birth_registration_application_process_02_cleaned_013_01,birth_registration_application_process_cleaned_019_01",1.0,1.0,1.0,0.4,1.0,0.5413996682199069
parameter_sensitivity,dense_heavy,"{""dense"": 0.7, ""bm25"": 0.3}",20,20,bdreg_q02_lost_certificate,lost_certificate,paraphrase,birth_and_death_registration_rules_2018_বিধি_১৩_01,"birth_and_death_registration_rules_2018_বিধি_১৩_01,birth_registration_application_process_cleaned_009_01,birth_registration_application_process_cleaned_020_01,birth_and_death_registration_act_2004_ধারা_১৫ক_01,know_this_01_cleaned_009_01",1.0,1.0,1.0,0.2,1.0,1.0
parameter_sensitivity,dense_heavy,"{""dense"": 0.7, ""bm25"": 0.3}",20,20,bdreg_q03_divorce_single_parent,special_case,scenario,"bdris_faq_01_q10,bdris_faq_02_q08","bdris_faq_01_q10,bdris_faq_02_q08,bdris_faq_01_q01,bdris_faq_02_q06,bdris_faq_01_q07",1.0,1.0,1.0,0.4,1.0,1.0
parameter_sensitivity,dense_heavy,"{""dense"": 0.7, ""bm25"": 0.3}",20,20,bdreg_q04_online_not_found,online_visibility,noisy_query,"bdris_faq_01_q02,bdris_faq_02_q03,know_this_01_cleaned_008_01","bdris_faq_01_q02,bdris_faq_02_q03,know_this_01_cleaned_008_01,birth_and_death_registration_act_2004_ধারা_১৩_01,birth_registration_application_process_cleaned_010_01",1.0,1.0,1.0,0.6,1.0,1.0
parameter_sensitivity,dense_heavy,"{""dense"": 0.7, ""bm25"": 0.3}",20,20,bdreg_q05_application_upload_manual_online,multi_intent,long_scenario,"bdris_faq_01_q02,birth_registration_application_process_cleaned_016_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_020_01","birth_registration_application_process_cleaned_008_01,birth_registration_application_process_cleaned_010_01,birth_registration_application_process_cleaned_002_01,birth_registration_application_process_02_cleaned_007_01,birth_registration_application_process_cleaned_019_01",0.0,0.0,1.0,0.2,0.2,0.15101961822780524
parameter_sensitivity,dense_heavy,"{""dense"": 0.7, ""bm25"": 0.3}",20,20,bdreg_q06_overseas_registration,overseas,scenario,"bdris_faq_01_q12,birth_and_death_registration_rules_2018_বিধি_১০_01,birth_registration_application_process_cleaned_009_01","birth_registration_application_process_cleaned_008_01,birth_registration_application_process_cleaned_009_01,birth_registration_application_process_cleaned_002_01,birth_registration_application_process_02_cleaned_005_01,birth_registration_application_process_cleaned_012_01",0.0,1.0,1.0,0.2,0.5,0.2960819109658652
parameter_sensitivity,dense_heavy,"{""dense"": 0.7, ""bm25"": 0.3}",20,20,bdreg_q07_parent_name_correction,correction,long_scenario,"application_for_birth_information_correction_cleaned_002_01,application_for_birth_information_correction_cleaned_003_01,application_for_birth_information_correction_cleaned_004_01,birth_and_death_registration_fees_cleaned_fee_row_05","application_for_birth_information_correction_cleaned_003_01,application_for_birth_information_correction_cleaned_002_01,application_for_birth_information_correction_cleaned_006_01,application_for_birth_information_correction_cleaned_008_01,application_for_birth_information_correction_cleaned_010_01",1.0,1.0,1.0,0.4,1.0,0.6366824387328317
parameter_sensitivity,dense_heavy,"{""dense"": 0.7, ""bm25"": 0.3}",20,20,bdreg_q08_birth_deadline,deadline,factual,"birth_and_death_registration_act_2004_ধারা_৮_01,birth_and_death_registration_rules_2018_বিধি_২০_01","bdris_faq_01_q01,birth_and_death_registration_act_2004_ধারা_৮_01,birth_and_death_registration_rules_2018_বিধি_৮_01,birth_and_death_registration_rules_2018_বিধি_২০_01,birth_and_death_registration_guidelines_2021_ocr_006_02",0.0,1.0,1.0,0.4,0.5,0.6509209298071326
parameter_sensitivity,dense_heavy,"{""dense"": 0.7, ""bm25"": 0.3}",20,20,bdreg_q09_orphan_fee_waiver,fees,condition_based,birth_and_death_registration_rules_2018_বিধি_২১_02,"birth_and_death_registration_rules_2018_বিধি_২১_02,birth_and_death_registration_rules_2018_বিধি_২১_01,birth_and_death_registration_fees_cleaned_table_full,birth_and_death_registration_fees_cleaned_fee_row_01,birth_and_death_registration_fees_cleaned_fee_row_06",1.0,1.0,1.0,0.2,1.0,1.0
parameter_sensitivity,dense_heavy,"{""dense"": 0.7, ""bm25"": 0.3}",20,20,bdreg_q10_birth_date_correction,correction,condition_based,"birth_and_death_registration_fees_cleaned_fee_row_04,notice_birth_and_death_registration_certificate_correction_steps_ocr_006_01","birth_and_death_registration_fees_cleaned_fee_row_04,birth_and_death_registration_fees_cleaned_fee_row_05,birth_and_death_registration_fees_cleaned_table_full,birth_and_death_registration_fees_cleaned_fee_row_06,application_for_birth_information_correction_cleaned_006_01",1.0,1.0,1.0,0.2,1.0,0.6131471927654584
