experiment,variant,question_id,category,question_type,question,expected_source_ids,retrieved_ids,recall@1,recall@3,recall@5,context_precision@5,mrr,ndcg@5,out_of_context_no_hit
retrieval_variant,dense_only,bdreg_q01_application_docs_progress,multi_intent,scenario,জন্মসনদের জন্য আবেদন করব কীভাবে? কি কি কাগজপত্র প্রয়োজন? আবেদনের পর progress কীভাবে জানবো?,"birth_registration_application_process_cleaned_002_01,birth_registration_application_process_cleaned_016_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_020_01","birth_registration_application_process_02_cleaned_014_01,birth_registration_application_process_02_cleaned_013_01,birth_registration_application_process_cleaned_020_01,birth_registration_application_process_02_cleaned_010_01,birth_registration_application_process_cleaned_019_01",0.0,1.0,1.0,0.4,0.3333333333333333,0.34620964322385606,0.0
retrieval_variant,bm25_only,bdreg_q01_application_docs_progress,multi_intent,scenario,জন্মসনদের জন্য আবেদন করব কীভাবে? কি কি কাগজপত্র প্রয়োজন? আবেদনের পর progress কীভাবে জানবো?,"birth_registration_application_process_cleaned_002_01,birth_registration_application_process_cleaned_016_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_020_01","home_registrar_generals_office_birth_and_death_registration_009_01,home_registrar_generals_office_birth_and_death_registration_010_01,birth_registration_application_process_cleaned_002_01,birth_registration_application_process_cleaned_018_01,know_this_01_cleaned_007_01",0.0,1.0,1.0,0.2,0.3333333333333333,0.19519002499605084,0.0
retrieval_variant,hybrid_rrf,bdreg_q01_application_docs_progress,multi_intent,scenario,জন্মসনদের জন্য আবেদন করব কীভাবে? কি কি কাগজপত্র প্রয়োজন? আবেদনের পর progress কীভাবে জানবো?,"birth_registration_application_process_cleaned_002_01,birth_registration_application_process_cleaned_016_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_020_01","birth_registration_application_process_cleaned_002_01,birth_registration_application_process_02_cleaned_013_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_006_01,birth_registration_application_process_02_cleaned_014_01",1.0,1.0,1.0,0.4,1.0,0.5855700749881525,0.0
retrieval_variant,hybrid_rrf_rerank,bdreg_q01_application_docs_progress,multi_intent,scenario,জন্মসনদের জন্য আবেদন করব কীভাবে? কি কি কাগজপত্র প্রয়োজন? আবেদনের পর progress কীভাবে জানবো?,"birth_registration_application_process_cleaned_002_01,birth_registration_application_process_cleaned_016_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_020_01","birth_registration_application_process_cleaned_002_01,birth_registration_application_process_02_cleaned_010_01,birth_registration_application_process_cleaned_015_01,birth_registration_application_process_02_cleaned_013_01,birth_registration_application_process_cleaned_019_01",1.0,1.0,1.0,0.4,1.0,0.5413996682199069,0.0
retrieval_variant,dense_only,bdreg_q02_lost_certificate,lost_certificate,paraphrase,"জন্মনিবন্ধন সনদ হারিয়ে গিয়েছে, কি করব?",birth_and_death_registration_rules_2018_বিধি_১৩_01,"birth_and_death_registration_rules_2018_বিধি_১৩_01,bdris_faq_02_q08,bdris_faq_01_q10,birth_and_death_registration_rules_2018_বিধি_১৫_01,notice_birth_and_death_registration_certificate_correction_steps_ocr_007_01",1.0,1.0,1.0,0.2,1.0,1.0,0.0
retrieval_variant,bm25_only,bdreg_q02_lost_certificate,lost_certificate,paraphrase,"জন্মনিবন্ধন সনদ হারিয়ে গিয়েছে, কি করব?",birth_and_death_registration_rules_2018_বিধি_১৩_01,"home_registrar_generals_office_birth_and_death_registration_009_01,home_registrar_generals_office_birth_and_death_registration_010_01,bdris_faq_01_q08,know_this_01_cleaned_007_01,bdris_faq_02_q06",0.0,0.0,0.0,0.0,0.0,0.0,0.0
retrieval_variant,hybrid_rrf,bdreg_q02_lost_certificate,lost_certificate,paraphrase,"জন্মনিবন্ধন সনদ হারিয়ে গিয়েছে, কি করব?",birth_and_death_registration_rules_2018_বিধি_১৩_01,"birth_registration_application_process_cleaned_009_01,birth_and_death_registration_act_2004_ধারা_১৫ক_01,know_this_01_cleaned_009_01,notice_birth_and_death_registration_certificate_correction_steps_ocr_003_01,birth_and_death_registration_rules_2018_বিধি_১৩_01",0.0,0.0,1.0,0.2,0.2,0.38685280723454163,0.0
retrieval_variant,hybrid_rrf_rerank,bdreg_q02_lost_certificate,lost_certificate,paraphrase,"জন্মনিবন্ধন সনদ হারিয়ে গিয়েছে, কি করব?",birth_and_death_registration_rules_2018_বিধি_১৩_01,"birth_and_death_registration_rules_2018_বিধি_১৩_01,birth_registration_application_process_cleaned_009_01,birth_registration_application_process_cleaned_020_01,home_registrar_generals_office_birth_and_death_registration_009_01,birth_and_death_registration_act_2004_ধারা_১৫ক_01",1.0,1.0,1.0,0.2,1.0,1.0,0.0
retrieval_variant,dense_only,bdreg_q03_divorce_single_parent,special_case,scenario,"ডিভোর্সের ক্ষেত্রে, শুধু পিতার/মাতার তথ্য দিয়ে কি সন্তানের জন্ম নিবন্ধন করা যাবে?","bdris_faq_01_q10,bdris_faq_02_q08","bdris_faq_01_q10,bdris_faq_02_q08,bdris_faq_02_q07,birth_registration_application_process_02_cleaned_007_01,birth_and_death_registration_act_2004_ধারা_৮_01",1.0,1.0,1.0,0.4,1.0,1.0,0.0
retrieval_variant,bm25_only,bdreg_q03_divorce_single_parent,special_case,scenario,"ডিভোর্সের ক্ষেত্রে, শুধু পিতার/মাতার তথ্য দিয়ে কি সন্তানের জন্ম নিবন্ধন করা যাবে?","bdris_faq_01_q10,bdris_faq_02_q08","bdris_faq_01_q10,bdris_faq_02_q08,bdris_faq_01_q01,bdris_faq_01_q07,birth_registration_application_process_cleaned_012_01",1.0,1.0,1.0,0.4,1.0,1.0,0.0
retrieval_variant,hybrid_rrf,bdreg_q03_divorce_single_parent,special_case,scenario,"ডিভোর্সের ক্ষেত্রে, শুধু পিতার/মাতার তথ্য দিয়ে কি সন্তানের জন্ম নিবন্ধন করা যাবে?","bdris_faq_01_q10,bdris_faq_02_q08","bdris_faq_01_q10,bdris_faq_02_q08,bdris_faq_02_q07,bdris_faq_02_q06,bdris_faq_01_q01",1.0,1.0,1.0,0.4,1.0,1.0,0.0
retrieval_variant,hybrid_rrf_rerank,bdreg_q03_divorce_single_parent,special_case,scenario,"ডিভোর্সের ক্ষেত্রে, শুধু পিতার/মাতার তথ্য দিয়ে কি সন্তানের জন্ম নিবন্ধন করা যাবে?","bdris_faq_01_q10,bdris_faq_02_q08","bdris_faq_01_q10,bdris_faq_02_q08,bdris_faq_01_q01,bdris_faq_02_q06,bdris_faq_01_q07",1.0,1.0,1.0,0.4,1.0,1.0,0.0
retrieval_variant,dense_only,bdreg_q04_online_not_found,online_visibility,noisy_query,আমার জন্ম নিবন্ধন ০৬/০৩/২০১৪ তে অনলাইন করা হয়েছে। কিন্তু এখন আমি আমার জন্ম নিবন্ধন অনলাইনাে এ খুঁজে পাচ্ছি না. আমাকে এই বিষয়ে সাহায্য করুন।,"bdris_faq_01_q02,bdris_faq_02_q03,know_this_01_cleaned_008_01","bdris_faq_01_q02,application_for_birth_information_correction_cleaned_006_01,application_for_birth_information_correction_cleaned_008_01,birth_registration_application_process_cleaned_012_01,application_for_birth_information_correction_cleaned_005_01",1.0,1.0,1.0,0.2,1.0,0.46927872602275644,0.0
