method,question_id,category,question,expected_source_ids,retrieved_ids,recall@1,recall@3,recall@5,precision@5,mrr,ndcg@5
Simple RAG,process_step_1,application_process,What is the first step to get an e-Passport?,process_step_1,"process_step_1,process_step_2,process_step_5,process_step_4,process_step_3",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,process_step_1,application_process,What is the first step to get an e-Passport?,process_step_1,"process_step_1,process_step_2,process_step_5,process_step_4,process_step_3",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,process_step_2,application_process,What is the second step to get an e-Passport?,process_step_2,"process_step_2,process_step_1,process_step_5,process_step_4,process_step_3",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,process_step_2,application_process,What is the second step to get an e-Passport?,process_step_2,"process_step_2,process_step_1,process_step_5,process_step_4,process_step_3",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,process_step_3,application_process,What is the third step to get an e-Passport?,process_step_3,"process_step_3,process_step_5,process_step_4,process_step_1,process_step_2",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,process_step_3,application_process,What is the third step to get an e-Passport?,process_step_3,"process_step_3,process_step_5,process_step_1,process_step_2,process_step_4",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,process_step_4,application_process,What is the fourth step to get an e-Passport?,process_step_4,"process_step_4,process_step_5,process_step_3,process_step_1,process_step_2",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,process_step_4,application_process,What is the fourth step to get an e-Passport?,process_step_4,"process_step_4,process_step_5,process_step_1,process_step_2,process_step_3",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,process_step_5,application_process,What is the fifth and final step to get an e-Passport?,process_step_5,"process_step_5,process_step_4,process_step_3,process_step_2,process_step_1",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,process_step_5,application_process,What is the fifth and final step to get an e-Passport?,process_step_5,"process_step_5,process_step_4,process_step_2,process_step_3,process_step_1",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,offices_list,offices,Which e-Passport offices are currently functional in Bangladesh?,offices_list,"offices_list,fees_bangladesh_48_5,delivery_different_city,fees_bangladesh_64_5,fees_bangladesh_48_10",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,offices_list,offices,Which e-Passport offices are currently functional in Bangladesh?,offices_list,"offices_list,fees_bangladesh_48_5,fees_bangladesh_64_5,fees_bangladesh_48_10,fees_bangladesh_64_10",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,narayanganj_office,offices,Has the Narayanganj Regional Passport Office resumed operations?,narayanganj_office,"narayanganj_office,offices_list,dhaka_cantonment_jurisdiction,delivery_different_city,status_pending_backend",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,narayanganj_office,offices,Has the Narayanganj Regional Passport Office resumed operations?,narayanganj_office,"narayanganj_office,delivery_different_city,collection_printing_error,offices_list,status_pending_backend",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,dhaka_cantonment_jurisdiction,offices,What are the jurisdiction rules for Dhaka Cantonment Passport Office?,dhaka_cantonment_jurisdiction,"dhaka_cantonment_jurisdiction,delivery_different_city,offices_list,narayanganj_office,fees_mission_general_64_10",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,dhaka_cantonment_jurisdiction,offices,What are the jurisdiction rules for Dhaka Cantonment Passport Office?,dhaka_cantonment_jurisdiction,"dhaka_cantonment_jurisdiction,delivery_different_city,offices_list,narayanganj_office,fees_mission_general_64_10",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,fees_bangladesh_48_5,fees,"What is the fee for a 48-page, 5-year e-Passport inside Bangladesh?",fees_bangladesh_48_5,"fees_bangladesh_48_5,fees_bangladesh_48_10,fees_mission_general_48_5,fees_bangladesh_64_5,fees_mission_labor_student_48_5",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,fees_bangladesh_48_5,fees,"What is the fee for a 48-page, 5-year e-Passport inside Bangladesh?",fees_bangladesh_48_5,"fees_bangladesh_48_5,fees_bangladesh_48_10,fees_mission_general_48_5,fees_bangladesh_64_5,fees_mission_labor_student_48_5",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,fees_bangladesh_48_10,fees,"What is the fee for a 48-page, 10-year e-Passport inside Bangladesh?",fees_bangladesh_48_10,"fees_bangladesh_48_10,fees_bangladesh_48_5,fees_bangladesh_64_10,fees_mission_general_48_10,fees_mission_labor_student_48_10",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,fees_bangladesh_48_10,fees,"What is the fee for a 48-page, 10-year e-Passport inside Bangladesh?",fees_bangladesh_48_10,"fees_bangladesh_48_10,fees_bangladesh_48_5,fees_bangladesh_64_10,fees_mission_general_48_10,fees_mission_labor_student_48_10",1.0,1.0,1.0,0.2,1.0,1.0
