question_id,category,question_type,question,expected_answer,expected_source_ids,manual_retrieval_relevance_0_2,manual_faithfulness_0_2,manual_answer_correctness_0_2,manual_answer_relevance_0_2,manual_language_quality_0_2,notes
bdreg_q01_application_docs_progress,multi_intent,scenario,জন্মসনদের জন্য আবেদন করব কীভাবে? কি কি কাগজপত্র প্রয়োজন? আবেদনের পর progress কীভাবে জানবো?,"জন্ম নিবন্ধনের আবেদন করতে BDRIS ওয়েবসাইটে জন্ম নিবন্ধন আবেদন অপশন ব্যবহার করতে হবে। আবেদন করার আগে জন্মস্থান, স্থায়ী ঠিকানা, বর্তমান ঠিকানা এবং প্রয়োজনীয় প্রমাণক প্রস্তুত রাখতে হবে। আবেদন সফলভাবে জমা হলে আবেদনপত্র নম্বর বা Application ID মোবাইল নম্বর বা ইমেইলে পাঠানো হয়। এরপর আবেদনপত্র ও সংযুক্ত ডকুমেন্টের ফটোকপি নিয়ে সংশ্লিষ্ট নিবন্ধন কার্যালয়ে যোগাযোগ করতে হয়। নির্দিষ্ট live progress tracking পদ্ধতি এই ডেটাসেটে নেই।","birth_registration_application_process_cleaned_002_01,birth_registration_application_process_cleaned_016_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_020_01",,,,,,
bdreg_q02_lost_certificate,lost_certificate,paraphrase,"জন্মনিবন্ধন সনদ হারিয়ে গিয়েছে, কি করব?",জন্ম নিবন্ধন সনদ হারিয়ে গেলে বা নষ্ট হলে নিবন্ধকের কাছে সনদের প্রতিলিপির জন্য আবেদন করতে হবে। বিধি ১৩ অনুযায়ী আবেদন পাওয়ার ৭ কার্য দিবসের মধ্যে প্রতিলিপি প্রদান করা হয় এবং বিধি ২১ অনুযায়ী ফি প্রযোজ্য হতে পারে।,birth_and_death_registration_rules_2018_বিধি_১৩_01,,,,,,
bdreg_q03_divorce_single_parent,special_case,scenario,"ডিভোর্সের ক্ষেত্রে, শুধু পিতার/মাতার তথ্য দিয়ে কি সন্তানের জন্ম নিবন্ধন করা যাবে?",বিবাহ বিচ্ছেদ বা পিতামাতার একজন অপ্রাপ্য বা নিখোঁজ হলে পিতামাতার একজনের তথ্য দিয়ে এবং অপরজনের শুধু নাম উল্লেখ করে সন্তানের জন্ম নিবন্ধন করা যাবে। চেয়ারম্যান কর্তৃক প্রত্যয়ন নিতে হবে এবং আবেদনপত্র নিয়ে উপজেলা নির্বাহী অফিসে শুনানীতে জমা দিতে হবে।,"bdris_faq_02_q08,bdris_faq_01_q10",,,,,,
bdreg_q04_online_not_found,online_visibility,noisy_query,আমার জন্ম নিবন্ধন ০৬/০৩/২০১৪ তে অনলাইন করা হয়েছে। কিন্তু এখন আমি আমার জন্ম নিবন্ধন অনলাইনাে এ খুঁজে পাচ্ছি না. আমাকে এই বিষয়ে সাহায্য করুন।,"অনলাইনে জন্ম নিবন্ধন করা থাকলে orgbdr.gov.bd ওয়েবসাইটে জন্ম তথ্য যাচাই অপশনে জন্ম নিবন্ধন নম্বর ও জন্ম তারিখ দিয়ে যাচাই করতে হবে। যদি পুরোনো হাতে লেখা বা ম্যানুয়াল নিবন্ধন হয়ে থাকে এবং অনলাইনে না পাওয়া যায়, তাহলে যে কার্যালয়ে হাতে লেখা নিবন্ধন হয়েছিল সেই কার্যালয়ের বইতে তথ্য পাওয়া গেলে নিবন্ধক অনলাইনে নিবন্ধন করে দিতে পারেন।","know_this_01_cleaned_008_01,bdris_faq_01_q02,bdris_faq_02_q03",,,,,,
bdreg_q05_application_upload_manual_online,multi_intent,long_scenario,"আমার ছেলের জন্য জন্ম নিবন্ধন আবেদন করেছি। আবেদন নাম্বার পেয়েছি কিন্তু কতদিন সময় লাগবে বুঝছি না। ফাইল upload হচ্ছে কিন্তু submit করার সময় প্রয়োজনীয় ফাইল আপলোড করেননি দেখাচ্ছে। আমার ভোটার আইডি আছে কিন্তু জন্ম নিবন্ধন অনলাইন করা নাই, এখন কী করব?","আবেদন সফল হলে মোবাইলে বা ইমেইলে Application ID যায়। আবেদনপত্র ও সংযুক্ত ডকুমেন্টের ফটোকপি নিয়ে সংশ্লিষ্ট নিবন্ধন কার্যালয়ে যোগাযোগ করতে হয় এবং যাচাই-বাছাই শেষে সনদ দেওয়া হয়। সংযুক্তির জন্য জন্ম তারিখ, জন্মস্থান ও স্থায়ী ঠিকানার প্রমাণক যুক্ত করতে হয় এবং ২ মেগাবাইটের কম ইমেজ ফাইল ব্যবহার করতে হয়। ম্যানুয়াল নিবন্ধন অনলাইনে না থাকলে আগের কার্যালয়ের বইতে তথ্য পাওয়া গেলে নিবন্ধক সরাসরি অনলাইন নিবন্ধন করে দিতে পারেন। নির্দিষ্ট upload error troubleshooting বা live progress tracking এই ডেটাসেটে নেই।","birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_020_01,birth_registration_application_process_cleaned_016_01,bdris_faq_01_q02",,,,,,
bdreg_q06_overseas_registration,overseas,scenario,"আমি দেশের বাইরে থাকি, আগে অনলাইনে জন্ম নিবন্ধন করা হয়নি। এখন বিদেশ থেকে জন্ম নিবন্ধন করতে চাইলে কী করব?",প্রবাসে জন্ম নিবন্ধনের ক্ষেত্রে বিদেশে অবস্থিত বাংলাদেশ দূতাবাসের নিবন্ধক প্রয়োজনীয় তথ্য ও প্রমাণ পেলে জন্ম নিবন্ধন করতে পারেন। বিদেশে জন্মগ্রহণকারী শিশু নিকটস্থ বাংলাদেশ দূতাবাস থেকে জন্ম সনদ সংগ্রহ করতে পারে। তবে বাংলাদেশে জন্মগ্রহণ করে থাকলে মূল বা স্থানীয় নিবন্ধন কার্যালয়ের রেকর্ডও গুরুত্বপূর্ণ হতে পারে।,"birth_and_death_registration_rules_2018_বিধি_১০_01,birth_registration_application_process_cleaned_009_01,bdris_faq_01_q12",,,,,,
bdreg_q07_parent_name_correction,correction,long_scenario,"আমার ছেলের জন্ম নিবন্ধনে ভুল করে বাবা-মায়ের জায়গায় অন্য আত্মীয়ের নাম আছে। এখন সঠিক বাবা-মায়ের নাম সংশোধন করতে চাই, কী প্রক্রিয়া অনুসরণ করব?","পিতা বা মাতার নাম সংশোধনের জন্য জন্ম নিবন্ধন তথ্য সংশোধনের আবেদন করতে হবে। পিতা বা মাতার জন্ম নিবন্ধন নম্বর থাকলে আগে তাদের জন্ম নিবন্ধন তথ্য সংশোধন করে নাম ঠিক করতে হবে। পূর্বে পিতা-মাতার জন্ম নিবন্ধন নম্বর যুক্ত থাকলে তাদের নাম সংশোধনের পর সন্তানের সনদ পুনর্মুদ্রণে সংশোধিত নাম দেখা যাবে। জন্ম তারিখ ব্যতীত নাম, পিতার নাম, মাতার নাম, ঠিকানা ইত্যাদি সংশোধনের আবেদন ফি ৫০ টাকা।","application_for_birth_information_correction_cleaned_002_01,application_for_birth_information_correction_cleaned_003_01,application_for_birth_information_correction_cleaned_004_01,birth_and_death_registration_fees_cleaned_fee_row_05",,,,,,
bdreg_q08_birth_deadline,deadline,factual,শিশুর জন্মের কত দিনের মধ্যে জন্ম নিবন্ধনের তথ্য দিতে হয়?,জন্মের ৪৫ দিনের মধ্যে জন্ম সংক্রান্ত তথ্য নিবন্ধকের নিকট প্রদান করতে হয়।,"birth_and_death_registration_act_2004_ধারা_৮_01,birth_and_death_registration_rules_2018_বিধি_২০_01",,,,,,
bdreg_q09_orphan_fee_waiver,fees,condition_based,এতিম শিশুর জন্ম নিবন্ধনে কি ফি মওকুফ হতে পারে?,"১৮ বছরের কম বয়সী এতিম, প্রতিবন্ধী বা সহায় সম্বলহীন ব্যক্তির জন্ম নিবন্ধনের ক্ষেত্রে যথাযথভাবে ক্ষমতাপ্রাপ্ত কর্তৃপক্ষের সনদের ভিত্তিতে আবেদন করলে নিবন্ধক ফি সম্পূর্ণ বা আংশিক মওকুফের বিষয় বিবেচনা করতে পারেন।",birth_and_death_registration_rules_2018_বিধি_২১_02,,,,,,
bdreg_q10_birth_date_correction,correction,condition_based,জন্ম তারিখ ভুল হলে কীভাবে সংশোধন করব এবং ফি কত?,জন্ম তারিখ ভুল হলে জন্ম নিবন্ধন তথ্য সংশোধনের আবেদন করতে হবে। জন্ম তারিখ সংশোধন BDRIS সংশোধন-সংক্রান্ত ফিচারের মধ্যে রয়েছে। জন্ম তারিখ সংশোধনের আবেদন ফি ১০০ টাকা। সম্পূর্ণ ধাপে ধাপে প্রক্রিয়া এই ডেটাসেটে নেই।,"notice_birth_and_death_registration_certificate_correction_steps_ocr_006_01,birth_and_death_registration_fees_cleaned_fee_row_04",,,,,,
