method,chunk_id,category,curated_top_id,original_top_id,same_top_id,curated_hit_at_5,original_hit_at_5,both_hit_at_5
dense_only,bdris_faq_01_q01,parents_registration,application_for_birth_information_correction_cleaned_006_01,bdris_faq_02_q01,0,1,1,1
dense_only,bdris_faq_01_q02,manual_to_online_migration,bdris_faq_01_q02,bdris_faq_01_q02,1,1,1,1
dense_only,bdris_faq_01_q04,bilingual_registration,bdris_faq_02_q02,bdris_faq_01_q04,0,1,1,1
dense_only,bdris_faq_01_q05,special_cases,bdris_faq_01_q05,bdris_faq_01_q05,1,1,1,1
dense_only,bdris_faq_01_q07,married_women_registration,bdris_faq_02_q06,bdris_faq_01_q07,0,1,1,1
dense_only,bdris_faq_01_q08,certificate_language,bdris_faq_01_q08,bdris_faq_01_q08,1,1,1,1
dense_only,bdris_faq_01_q09,mobile_number_policy,bdris_faq_02_q07,bdris_faq_01_q09,0,1,1,1
dense_only,bdris_faq_01_q10,special_cases,bdris_faq_01_q10,bdris_faq_01_q10,1,1,1,1
dense_only,bdris_faq_01_q11,special_cases,bdris_faq_01_q11,bdris_faq_01_q11,1,1,1,1
dense_only,bdris_faq_01_q13,fee_and_challan,bdris_faq_01_q13,bdris_faq_01_q13,1,1,1,1
dense_only,bdris_faq_01_q15,duplicate_registration,bdris_faq_01_q15,bdris_faq_01_q15,1,1,1,1
bm25_only,bdris_faq_01_q01,parents_registration,application_for_birth_information_correction_cleaned_005_01,bdris_faq_01_q01,0,0,1,0
bm25_only,bdris_faq_01_q02,manual_to_online_migration,bdris_faq_01_q02,bdris_faq_01_q02,1,1,1,1
bm25_only,bdris_faq_01_q04,bilingual_registration,bdris_faq_01_q08,bdris_faq_01_q04,0,0,1,0
bm25_only,bdris_faq_01_q05,special_cases,bdris_faq_01_q05,bdris_faq_01_q05,1,1,1,1
bm25_only,bdris_faq_01_q07,married_women_registration,bdris_faq_02_q06,bdris_faq_01_q07,0,1,1,1
bm25_only,bdris_faq_01_q08,certificate_language,bdris_faq_01_q08,bdris_faq_01_q08,1,1,1,1
bm25_only,bdris_faq_01_q09,mobile_number_policy,bdris_faq_01_q09,bdris_faq_01_q09,1,1,1,1
bm25_only,bdris_faq_01_q10,special_cases,bdris_faq_01_q10,bdris_faq_01_q10,1,1,1,1
bm25_only,bdris_faq_01_q11,special_cases,bdris_faq_01_q11,bdris_faq_01_q11,1,1,1,1
bm25_only,bdris_faq_01_q13,fee_and_challan,bdris_faq_01_q13,bdris_faq_01_q13,1,1,1,1
bm25_only,bdris_faq_01_q15,duplicate_registration,bdris_faq_01_q15,bdris_faq_01_q15,1,1,1,1
hybrid_rrf,bdris_faq_01_q01,parents_registration,application_for_birth_information_correction_cleaned_005_01,bdris_faq_02_q01,0,1,1,1
hybrid_rrf,bdris_faq_01_q02,manual_to_online_migration,bdris_faq_01_q02,bdris_faq_01_q02,1,1,1,1
hybrid_rrf,bdris_faq_01_q04,bilingual_registration,bdris_faq_01_q08,bdris_faq_01_q04,0,1,1,1
hybrid_rrf,bdris_faq_01_q05,special_cases,bdris_faq_01_q05,bdris_faq_01_q05,1,1,1,1
hybrid_rrf,bdris_faq_01_q07,married_women_registration,bdris_faq_02_q06,bdris_faq_01_q07,0,1,1,1
hybrid_rrf,bdris_faq_01_q08,certificate_language,bdris_faq_01_q08,bdris_faq_01_q08,1,1,1,1
hybrid_rrf,bdris_faq_01_q09,mobile_number_policy,bdris_faq_02_q07,bdris_faq_01_q09,0,1,1,1
hybrid_rrf,bdris_faq_01_q10,special_cases,bdris_faq_01_q10,bdris_faq_01_q10,1,1,1,1
hybrid_rrf,bdris_faq_01_q11,special_cases,bdris_faq_01_q11,bdris_faq_01_q11,1,1,1,1
hybrid_rrf,bdris_faq_01_q13,fee_and_challan,bdris_faq_01_q13,bdris_faq_01_q13,1,1,1,1
hybrid_rrf,bdris_faq_01_q15,duplicate_registration,bdris_faq_01_q15,bdris_faq_01_q15,1,1,1,1
